"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Sep 1995",57435.6192812495,55288.304578015,59582.933984484,54151.584838184,60719.653724315
"Oct 1995",53216.3225469336,50800.6790630393,55631.9660308279,49521.9146469989,56910.7304468683
"Nov 1995",51147.7578471627,48499.3442122154,53796.17148211,47097.3587214313,55198.156972894
"Dec 1995",43603.8631466224,40822.9739204865,46384.7523727582,39350.8600878609,47856.8662053838
"Jan 1996",44065.1787001339,41189.6955055556,46940.6618947122,39667.5066508405,48462.8507494273
"Feb 1996",44171.657696344,41229.1459272702,47114.1694654179,39671.4742885705,48671.8411041175
"Mar 1996",49107.0763140791,46113.880102838,52100.2725253203,44529.3777411767,53684.7748869816
"Apr 1996",50356.5019375644,47323.5850326867,53389.418842442,45718.0558059514,54994.9480691773
"May 1996",57701.0393390266,54635.6975602629,60766.3811177903,53013.0036421332,62389.0750359201
"Jun 1996",61520.0391589177,58427.3083040804,64612.770013755,56790.1154848899,66249.9628329455
"Jul 1996",65854.5949115305,62738.0045853492,68971.1852377118,61088.1813249766,70621.0084980845
"Aug 1996",62737.1746439882,59599.2479328874,65875.1013550889,57938.1298726058,67536.2194153705
"Sep 1996",59132.3599347228,55636.6816449698,62628.0382244758,53786.1813386685,64478.5385307772
"Oct 1996",55189.6237328133,51566.5349006906,58812.7125649361,49648.5875274288,60730.6599381979
"Nov 1996",53029.4953824742,49288.3917881483,56770.5989768001,47307.9711735001,58751.0195914483
"Dec 1996",44638.8718978159,40814.4332551263,48463.3105405054,38789.8977306551,50487.8460649766
"Jan 1997",46019.1409085755,42126.6940384377,49911.5877787133,40066.1571330348,51972.1246841161
"Feb 1997",46032.8501853822,42084.6159486636,49981.0844221009,39994.5469952893,52071.1533754751
"Mar 1997",50465.7973921721,46469.7367376043,54461.85804674,44354.3500079522,56577.2447763921
"Apr 1997",52119.1875458506,48081.0553869645,56157.3197047367,45943.3973482347,58294.9777434665
"May 1997",58872.4265778288,54796.328836236,62948.5243194215,52638.5730320357,65106.2801236218
"Jun 1997",62791.9465155874,58680.8960999509,66902.996931224,56504.6374677833,69079.2555633915
"Jul 1997",66907.6590521865,62763.8899095111,71051.428194862,60570.3110294864,73245.0070748866
"Aug 1997",62872.6726195821,58697.866973905,67047.4782652592,56487.8583616366,69257.4868775276
"Sep 1997",59951.9221329605,55358.5440317797,64545.3002341412,52926.956546138,66976.8877197829
"Oct 1997",56279.6065142063,51526.3251099044,61032.8879185083,49010.0899287721,63549.1230996406
"Nov 1997",54353.3188486994,49449.9909185433,59256.6467788554,46854.3259046182,61852.3117927806
"Dec 1997",47044.0496958023,42030.9947582803,52057.1046333244,39377.2437753643,54710.8556162403
"Jan 1998",47971.6353127085,42866.8724225549,53076.3982028621,40164.5741820344,55778.6964433825
"Feb 1998",48016.7700858952,42834.9245229368,53198.6156488536,40091.821180284,55941.7189915064
"Mar 1998",52213.206765227,46963.934886942,57462.4786435121,44185.1382090269,60241.2753214271
"Apr 1998",53569.9434195292,48260.319478576,58879.5673604823,45449.5743485449,61690.3124905134
"May 1998",59901.481254511,54536.6157880973,65266.3467209247,51696.6275609297,68106.3349480923
"Jun 1998",63419.8574188902,58003.546634443,68836.1682033374,55136.3249009605,71703.3899368199
"Jul 1998",67228.6857929484,61763.7794982809,72693.5920876158,58870.8328556124,75586.5387302844
"Aug 1998",63893.6045117958,58382.276694644,69404.9323289475,55464.75598238,72322.4530412116
"Sep 1998",61004.2666942872,55171.9561185184,66836.577270056,52084.5173978154,69924.015990759
"Oct 1998",57579.2862911728,51600.206106872,63558.3664754736,48435.0722486214,66723.5003337242
"Nov 1998",55750.3118003694,49631.7244761057,61868.8991246332,46392.7399989382,65107.8836018007
"Dec 1998",48741.8977945301,42514.0635656228,54969.7320234375,39217.2472704937,58266.5483185666
"Jan 1999",49742.4916719899,43419.5430125135,56065.4403314663,40072.3761792877,59412.6071646921
"Feb 1999",49772.3387634731,43366.0454283309,56178.6320986153,39974.7585888963,59569.9189380499
"Mar 1999",53660.5850509324,47178.9432839378,60142.2268179271,43747.7693940755,63573.4007077894
"Apr 1999",54995.2914546606,48444.2954675725,61546.2874417487,44976.4076713125,65014.1752380087
"May 1999",60884.6948899286,54268.7731324619,67500.6166473954,50766.5157094761,71002.8740703812
"Jun 1999",64216.1761303877,57538.6874576559,70893.6648031195,54003.8384784362,74428.5137823392
"Jul 1999",67777.7848646398,61041.3039827894,74514.2657464903,57475.2264144391,78080.3433148406
"Aug 1999",64507.1915755711,57713.7248104804,71300.6583406619,54117.4807377638,74896.9024133784
"Sep 1999",61876.3748446614,54784.3257604522,68968.4239288705,51030.0217556748,72722.7279336479
"Oct 1999",58683.78800733,51442.2130336061,65925.3629810539,47608.7548042658,69758.8212103942
"Nov 1999",56991.1681645991,49606.3135807899,64376.0227484082,45697.0077074811,68285.328621717
"Dec 1999",50530.6400439745,43029.6729419051,58031.6071460439,39058.9008143257,62002.3792736233
