"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Sep 1995",54569.7911005538,51136.6265432159,57877.700248518,49256.3364347142,59659.7815672562
"Oct 1995",51150.3719341611,47349.4463077468,55055.7410733175,45314.0442672869,57022.8723637408
"Nov 1995",46882.0774053785,42894.3128171964,50972.2593030245,40954.0740052123,53379.866695009
"Dec 1995",43284.453931734,39086.9867280346,47544.0339791875,37140.4073552135,50128.2944786687
"Jan 1996",40760.1604267784,36421.7682969072,45293.5849835076,34342.3793625754,47916.9378493453
"Feb 1996",41377.639681406,36567.7491486185,46515.2931581522,34044.7655802016,49493.5331515508
"Mar 1996",45775.0267173034,40087.3458438313,51827.8142832257,37170.7372968549,55471.3490939841
"Apr 1996",47167.0296112329,40709.7452742935,54052.7066953631,37507.439054678,58302.7766550666
"May 1996",56088.914482887,47814.9745966837,64670.3598962314,43979.3802848426,70182.8254289759
"Jun 1996",60426.3731142898,51092.8236040713,70289.3358162411,47329.4485981344,77134.9384641528
"Jul 1996",64991.8168799796,54329.4367177832,76487.4127661101,49809.5814716454,83907.7052898422
"Aug 1996",62055.2549374967,51451.4991555968,73892.1284808909,46707.1405621065,81564.8416145812
"Sep 1996",55226.4309480937,45372.146172347,66324.5672032611,40803.8451397524,74254.6038345753
"Oct 1996",51753.4834578617,42195.3016428191,62425.1902363447,37901.7290119645,69898.0186289434
"Nov 1996",47423.74219956,38220.1399616141,57847.1947161166,34244.6228451649,64721.6428911729
"Dec 1996",43774.4940745112,34913.1111072255,54192.6481629953,30991.4772959897,60944.1618939941
"Jan 1997",41212.3416810463,32500.2392495532,51248.7034886669,28655.5659399256,58210.7866957626
"Feb 1997",41827.4405803847,32605.054681883,52445.7097257365,28594.7330306573,59800.2889378791
"Mar 1997",46262.6249356151,35795.779796728,58629.9547811139,31316.0103147818,67271.0585929579
"Apr 1997",47659.3545901258,36690.1375361455,61040.9637125122,31856.8223979862,70796.7149469174
"May 1997",56662.5963762871,42965.0537871986,72757.9489882599,37048.561760564,84628.2278342274
"Jun 1997",61031.9960370817,45728.0180508011,79313.6149511103,39068.4956241835,93416.3208326035
"Jul 1997",65630.1053665208,48830.7191494939,85911.9361222973,41708.1183205213,101327.111859733
"Aug 1997",62652.4556560763,45977.5075285471,82976.3012611598,39205.2710180642,97443.837495521
"Sep 1997",55747.2333895212,40501.5085619361,74584.0373034292,34358.8497230612,88740.9644481016
"Oct 1997",52231.728781216,37598.4643433931,70398.8975209491,31669.0933760155,83769.0893615432
"Nov 1997",47853.1727076799,34131.8304163659,65099.6553295546,28402.2499462789,77775.9740638226
"Dec 1997",44162.9170755388,31168.6566395495,60642.5034040621,26054.3533318113,72734.2149267401
"Jan 1998",41570.6844219914,29132.727691937,57513.5051598084,23941.7595725439,69831.5196569729
"Feb 1998",42183.8267939609,29199.9387696865,58911.1150537295,24021.9198556523,71335.6657269713
"Mar 1998",46648.8842049981,31985.0789991605,65625.4431767518,25947.7009482971,79937.6016410785
"Apr 1998",48049.2845263459,32716.4334762842,68265.7083547828,26540.9436805987,83150.4286134318
"May 1998",57116.8782360575,38358.7995341652,81873.2943948513,31052.7537991985,100487.601586604
"Jun 1998",61511.4840010348,40801.1108159924,89072.6897715608,32779.6752179936,111314.98048542
"Jul 1998",66135.3656312897,43719.1389717703,96478.2067198181,34858.0668053541,121884.96261736
"Aug 1998",63125.1089954049,41010.3580862881,92952.3066762584,32923.5362519864,117213.546543568
"Sep 1998",56159.3510338628,36371.5702039478,83407.4118470277,28638.8119540881,104750.203195885
"Oct 1998",52610.1070634318,33532.4692208699,78594.3111942548,26581.0449956563,100784.795051555
"Nov 1998",48192.8739150523,30407.8163041472,72845.8588468816,23876.9102069533,92543.2327275321
"Dec 1998",44470.1298611161,27815.7486915292,67781.8868727324,21716.4160651351,87135.7855376033
"Jan 1999",41854.0613617074,25931.530634496,64425.0634169308,20191.6911188299,82708.0177345886
"Feb 1999",42465.6129849306,26037.3075872255,66117.9547157279,20022.5444347978,84461.6399494827
"Mar 1999",46954.2440900738,28436.5328473588,73604.8126770115,21963.6462047709,95385.0460271505
"Apr 1999",48357.5005546016,29158.9368989804,76552.9656608406,22559.7061221367,99166.206416929
"May 1999",57475.9083661926,34309.9625622712,91106.0109179228,26255.9001550235,119301.073797309
"Jun 1999",61890.3811473197,36358.1940978255,99770.4660313807,27951.2464983422,130749.520263745
"Jul 1999",66534.5726145353,38999.0107458711,107877.22912269,29684.3150483836,142448.055895845
"Aug 1999",63498.5020947514,36807.8354177929,104178.172900027,27889.9481437932,137449.724749161
"Sep 1999",56484.8776670929,32650.1156210736,93214.5397125903,24438.2314479815,123807.914470819
"Oct 1999",52908.9441160179,30180.1450226589,88217.4411298427,22831.2652210812,117596.571269189
"Nov 1999",48461.1298876304,27432.4834995471,81644.4150368629,20370.7527300098,110571.475802963
"Dec 1999",44712.699689404,25115.401504301,76382.5671070523,18613.9650693735,103449.616789062
